District,Nitrogen Value,Phosphorous value,Potassium value,pH
Yadgir,28.736,67.103,78.602,7.0954
Yadgir,22.229,62.822,75.221,7.3273
Yadgir,22.145,70.373,77.868,7.0311
Yadgir,26.321,72.488,76.697,7.047
Yadgir,26.687,72.183,75.068,7.0078
Yadgir,23.861,75.766,75.035,7.2329
Virudhunagar,20.052,48.42,72.952,7.245
Virudhunagar,20.222,20.045,46.928,7.5086
Virudhunagar,20.309,22.559,61.877,7.8122
Virudhunagar,20,20.432,65.055,7.6
Virudhunagar,20.12,54.839,76.562,7.3361
Virudhunagar,20.066,21.422,56.873,7.2382
Virudhunagar,20.042,50.582,75.506,7.1173
Virudhunagar,20,60.08,72.245,7.0837
Virudhunagar,20.137,52.274,77.594,7.2915
Virudhunagar,20.249,62.597,66.851,7.1293
Virudhunagar,20.117,60.2,65.172,7.4103
Villupuram,20.072,55.958,50.614,7.0009
Villupuram,20,59.174,51.221,6.9563
Villupuram,20.084,52.262,53.792,7.0013
Villupuram,20.048,59.564,60.324,7.0818
Villupuram,20.075,56.714,64.356,6.9987
Villupuram,20,57.819,53.108,6.9994
Villupuram,20,66.03,58.586,6.9777
Villupuram,20,78.23,47.221,7.0018
Villupuram,20.042,55.838,50,6.9993
Villupuram,20.036,61.89,56.702,6.9979
Villupuram,20.036,53.888,60.017,6.9875
Villupuram,20.096,44.272,55.949,7.054
Villupuram,20.024,55.607,67.316,6.9992
Vijayapura,20.105,78.29,59.528,7.0727
Vijayapura,20.102,75.407,58.979,7.0187
Vijayapura,21.064,68.894,59.947,7.7583
Vijayapura,20.066,75.335,62.656,7.0189
Vijayapura,20,72.854,61.466,7.0297
Vijayapura,20,79.214,70.241,7.0962
Vijayapura,20.252,73.502,63.017,7.3545
Vijayapura,20.087,76.262,60.848,7.0611
Vijayapura,21.368,71.603,65.567,7.9471
Vijayapura,25.673,78.653,57.191,7.1461
Vijayapura,22.625,78.506,53.711,7.4011
Vijayapura,20,78.815,61.298,7.0339
Vijayapura,20.075,78.713,59.428,7.0258
Vijayanagar,37.97,46.376,33.183,7.8072
Vijayanagar,24.32,60.833,37.004,6.9819
Vijayanagar,35.808,37.085,31.49,7.0935
Vijayanagar,34.537,49.094,33.533,7.3013
Vijayanagar,42.635,54.05,54.835,7.0747
Vijayanagar,20,70.952,48.814,7.5716
Vellore,20.102,35.201,57.039,7.1048
Vellore,20.061,34.175,58.391,7.4945
Vellore,20.106,34.628,56.327,7.9231
Vellore,20.225,40.691,53.252,7.4638
Vellore,20,38.201,52.718,7.056
Vellore,20.078,43.846,48.689,7.1869
Vellore,20,38.225,56.402,7.1853
Valsad,29.687,76.257,67.214,6.9999
Valsad,30.461,76.682,60.371,7.0093
Valsad,30.497,75.668,64.568,6.9983
Valsad,33.398,76.016,64.082,6.999
Valsad,31.832,75.605,61.157,6.9928
